category_a,category_b,pearson_r,cat_a_uplift,cat_b_uplift,cat_a_archetype,cat_b_archetype,cat_a_cluster,cat_b_cluster
DS,DS,1.0000,0.7267,0.7267,relay,relay,team-positive,team-positive
DS,ML,,0.7267,0.5462,relay,relay,team-positive,team-moderate
DS,Policy,,0.7267,0.1105,relay,open_ended,team-positive,team-neutral
DS,GH,,0.7267,0.0962,relay,relay,team-positive,team-neutral
DS,Multi-language,,0.7267,0.0640,relay,synthesis,team-positive,team-neutral
DS,Distributed,,0.7267,0.0567,relay,synthesis,team-positive,team-neutral
DS,Code Review,,0.7267,0.0562,relay,relay,team-positive,team-neutral
DS,Testing,,0.7267,0.0501,relay,open_ended,team-positive,team-neutral
DS,Long-Horizon,,0.7267,0.0467,relay,synthesis,team-positive,team-neutral
DS,Specification,,0.7267,0.0307,relay,synthesis,team-positive,team-neutral
DS,Information Retrieval,,0.7267,0.0087,relay,discovery,team-positive,team-neutral
DS,Operations,,0.7267,0.0011,relay,relay,team-positive,team-neutral
DS,Adversarial,,0.7267,-0.0016,relay,adversarial,team-positive,team-neutral
DS,Negotiation,,0.7267,-0.0232,relay,open_ended,team-positive,team-neutral
DS,Security,,0.7267,-0.0286,relay,adversarial,team-positive,team-neutral
DS,Cross-System,,0.7267,-0.0543,relay,adversarial,team-positive,team-neutral
DS,Pipeline,,0.7267,-0.0658,relay,relay,team-positive,team-neutral
DS,Incident Response,,0.7267,-0.0796,relay,discovery,team-positive,team-neutral
DS,Data Engineering,,0.7267,-0.0928,relay,relay,team-positive,team-neutral
DS,Software Eng.,,0.7267,-0.1203,relay,relay,team-positive,team-neutral
DS,Integration,,0.7267,-0.3000,relay,relay,team-positive,team-negative
DS,DB,,0.7267,-0.5000,relay,relay,team-positive,team-negative
DS,DEVOPS,,0.7267,-0.7500,relay,relay,team-positive,team-negative
DS,API,,0.7267,-1.0000,relay,relay,team-positive,team-negative
ML,DS,,0.5462,0.7267,relay,relay,team-moderate,team-positive
ML,ML,1.0000,0.5462,0.5462,relay,relay,team-moderate,team-moderate
ML,Policy,,0.5462,0.1105,relay,open_ended,team-moderate,team-neutral
ML,GH,,0.5462,0.0962,relay,relay,team-moderate,team-neutral
ML,Multi-language,,0.5462,0.0640,relay,synthesis,team-moderate,team-neutral
ML,Distributed,,0.5462,0.0567,relay,synthesis,team-moderate,team-neutral
