category,count,avg_uplift,min_uplift,max_uplift
Pipeline,6,-0.2494,-0.92,0.1233
Integration,3,-0.2,-0.6,0.0
Software Eng.,11,-0.1839,-0.75,0.09
Incident Response,11,-0.1627,-0.83,0.1
Cross-System,9,-0.1444,-1.0,0.0
Information Retrieval,8,-0.0567,-0.9,0.2967
Data Engineering,11,-0.02,-0.59,0.74
Distributed,7,-0.0135,-0.25,0.0834
Security,16,-0.0037,-0.69,0.41
Operations,9,0.0019,-1.0,0.3333
Code Review,6,0.0189,-0.5,0.2433
Long-Horizon,9,0.0219,-0.55,0.7767
Specification,7,0.0574,-0.45,0.4567
Adversarial,11,0.0788,0.0,0.36
Multi-language,9,0.1381,0.0,0.8333
Negotiation,5,0.1933,-0.1,0.6667
Policy,8,0.2138,0.0,0.81
Testing,9,0.3604,0.0533,0.7333
