task_id,category,planning_value,verification_value,team_uplift,team_gt_oracle
CR1_review_respond,Code Review,-0.62,-0.62,-0.5,False
CR2_style_enforce,Code Review,0.0,0.08,0.08,False
CR3_perf_review,Code Review,0.1,0.0,0.1,True
CR4_api_review,Code Review,0.06,0.37,0.06,True
CR5_test_coverage,Code Review,0.13,0.1033,0.13,True
CR6_review_checklist,Code Review,0.03,0.0,0.2433,True
CROSS1_api_contract,Cross-System,0.1,0.6,0.0,False
CROSS3_protocol_bridge,Cross-System,0.0,0.0,0.0,False
CROSS5_event_schema,Cross-System,0.0,-0.3,-0.3,False
CROSS6_grpc_rest_bridge,Cross-System,-1.0,-1.0,-1.0,False
CROSS7_config_drift,Cross-System,0.0,0.0,0.0,False
CRYPTO1_nonce_reuse,Security,0.3,0.0,0.0,True
CRYPTO5_tls_config,Security,0.0,0.1,0.1,False
CRYPTO6_token_validation,Security,0.0,0.0,0.0,False
D1_schema_drift,Data Engineering,0.12,0.12,0.0,True
D2_data_quality,Data Engineering,-0.46,0.0,-0.46,True
D3_schema_migration,Data Engineering,0.09,0.0,0.0,True
D4_data_pipeline,Data Engineering,-0.59,-0.65,-0.59,False
D5_query_optimize,Data Engineering,-0.13,-0.07,-0.07,False
D6_data_reconcile,Data Engineering,0.06,0.17,0.06,True
D7_etl_reconciliation,Data Engineering,0.0,0.1,0.0,False
D8_csv_cleanup,Data Engineering,0.4067,0.0,0.74,True
D9_schema_validation,Data Engineering,0.1,0.1,0.1,True
DIST1_queue_race,Distributed,0.1667,0.0,0.0834,True
DIST5_leader_election,Distributed,0.0,0.0,0.0,False
DIST6_distributed_lock,Distributed,0.1,-0.3667,-0.0667,False
GO1_concurrency_fix,Software Eng.,-0.5,-0.88,-0.75,False
GO2_race_condition,Software Eng.,0.0,0.0,0.08,True
INC10_rollback_plan,Incident Response,-0.4,-0.4,-0.4,False
INC1_cascade_failure,Incident Response,0.1,0.0,0.1,True
INC2_data_corruption,Incident Response,1.0,0.0,0.1,True
INC3_memory_leak,Incident Response,0.0,0.0,-0.83,False
INC4_dns_miscfg,Incident Response,0.42,0.0,0.08,True
INC5_cert_expiry,Incident Response,1.0,0.0,0.09,True
INC6_deadlock,Incident Response,0.0,-0.08,0.0,False
INC7_rollback,Incident Response,-0.83,-0.83,-0.83,False
INC8_cascading_timeout,Incident Response,-0.1,-0.1,-0.1,True
INC8_memory_leak,Incident Response,0.0,-0.1,-0.1,False
INC9_log_forensics,Incident Response,0.1,0.0,0.1,False
INT1_pipeline_repair,Integration,-0.08,-0.25,0.0,True
INT2_api_versioning,Integration,0.0,0.0,0.0,False
INT3_db_migration,Integration,-0.4,-0.7,-0.6,False
IR1_evidence_qa,Information Retrieval,0.0,-0.17,0.0,False
IR2_misinformation_trap,Information Retrieval,0.0,-0.14,0.0,False
IR3_multi_source,Information Retrieval,0.0,0.0,0.08,True
IR4_temporal,Information Retrieval,0.07,0.13,0.07,True
IR5_search_ranking,Information Retrieval,0.0,0.0,0.2967,True
