task_id,difficulty,difficulty_num,oracle,full,team_uplift,category
cross1_api_contract,unknown,0,0.5,0.8333,0.0,Cross-System
cross2_schema_evolution,unknown,0,1.0,1.0,0.0,Cross-System
cross3_protocol_bridge,unknown,0,0.8667,1.0,0.0,Cross-System
cross4_auth_federation,unknown,0,1.0,1.0,0.0,Cross-System
crypto1_nonce_reuse,unknown,0,0.2,0.2,0.0,Security
crypto2_timing_safe,unknown,0,1.0,1.0,0.0,Security
crypto3_cert_chain,unknown,0,0.0667,0.0667,0.0,Security
crypto4_kdf_migration,unknown,0,0.2,0.2,0.1333,Security
dist1_queue_race,unknown,0,0.4445,0.4445,0.0833,Distributed
dist2_consensus_partition,unknown,0,0.4167,0.4445,0.0278,Distributed
dist3_idempotency,unknown,0,0.5278,0.4167,-0.25,Distributed
dist4_clock_skew,unknown,0,0.9167,0.9722,0.0278,Distributed
trap1_spec_conflict,unknown,0,0.9333,0.9333,0.0,Adversarial
trap2_false_fix,unknown,0,1.0,1.0,0.0833,Adversarial
trap3_metric_mirage,unknown,0,0.8667,1.0,0.0,Adversarial
trap4_version_paradox,unknown,0,0.5533,0.5267,0.2233,Adversarial
trap5_security_theater,unknown,0,0.62,0.5967,0.36,Adversarial
CR2_style_enforce,easy,1,0.92,0.77,0.08,Code Review
D8_csv_cleanup,easy,1,0.2967,1.0,0.74,Data Engineering
IR1_evidence_qa,easy,1,0.67,0.33,0.0,Information Retrieval
O8_dockerfile_fix,easy,1,0.2367,0.2867,0.05,Operations
P6_license_check,easy,1,0.2867,1.0,0.81,Policy
S7_env_config,easy,1,0.2367,0.2867,0.05,Software Eng.
TEST8_unit_basic,easy,1,0.75,0.88,0.13,Testing
CR1_review_respond,medium,2,0.5,0.0,-0.5,Code Review
CR3_perf_review,medium,2,0.9,1.0,0.1,Code Review
CR5_test_coverage,medium,2,0.0,0.2567,0.13,Code Review
D1_schema_drift,medium,2,0.44,0.5,0.0,Data Engineering
D2_data_quality,medium,2,0.27,0.36,-0.46,Data Engineering
D9_schema_validation,medium,2,0.8,0.9,0.1,Data Engineering
INC5_cert_expiry,medium,2,0.91,1.0,0.09,Incident Response
IR5_search_ranking,medium,2,0.26,0.2967,0.2967,Information Retrieval
IR6_search_index,medium,2,0.0,0.0,0.0,Information Retrieval
IR7_doc_clustering,medium,2,0.75,0.75,0.0,Information Retrieval
NEG3_tech_debt,medium,2,0.8,1.0,0.2,Negotiation
O1_service_health,medium,2,0.0,0.0833,0.0833,Operations
O9_logging_config,medium,2,0.5,0.6,0.1,Operations
P1_policy_config,medium,2,0.0,0.0,0.0,Policy
P5_audit_logging,medium,2,0.93,0.93,0.0,Policy
P7_data_retention,medium,2,0.2967,1.0,0.74,Policy
PIPE1_etl_fix,medium,2,0.2433,0.2433,0.1233,Pipeline
PIPE2_api_gateway,medium,2,0.92,0.0,-0.92,Pipeline
