state,year,quarter,unemployment_rate
TX,2016,1,4.48
TX,2016,2,4.71
TX,2016,3,4.1
TX,2016,4,5.69
TX,2017,1,4.81
TX,2017,2,3.88
TX,2017,3,4.67
TX,2017,4,4.21
TX,2018,1,3.79
TX,2018,2,4.5
TX,2018,3,5.3
TX,2018,4,4.91
TX,2019,1,5.71
TX,2019,2,6.9
TX,2019,3,6.46
TX,2019,4,7.15
FL,2016,1,3.62
FL,2016,2,5.23
FL,2016,3,5.2
FL,2016,4,4.06
FL,2017,1,3.46
FL,2017,2,3.58
FL,2017,3,5.23
FL,2017,4,4.01
FL,2018,1,5.45
FL,2018,2,3.92
FL,2018,3,3.28
FL,2018,4,5.15
FL,2019,1,7.75
FL,2019,2,6.99
FL,2019,3,5.95
FL,2019,4,6.85
GA,2016,1,3.37
GA,2016,2,4.97
GA,2016,3,4.95
GA,2016,4,4.95
GA,2017,1,4.63
GA,2017,2,5.66
GA,2017,3,3.4
GA,2017,4,5.04
GA,2018,1,5.69
GA,2018,2,4.2
GA,2018,3,5.55
GA,2018,4,3.54
GA,2019,1,7.14
GA,2019,2,7.77
GA,2019,3,7.03
GA,2019,4,6.29
WA,2016,1,4.76
WA,2016,2,4.65
WA,2016,3,4.26
WA,2016,4,4.98
WA,2017,1,3.91
WA,2017,2,3.99
WA,2017,3,4.67
WA,2017,4,4.46
WA,2018,1,4.62
WA,2018,2,4.18
WA,2018,3,4.85
WA,2018,4,3.63
WA,2019,1,3.69
WA,2019,2,4.09
WA,2019,3,4.0
WA,2019,4,5.19
CO,2016,1,5.41
CO,2016,2,3.79
CO,2016,3,4.98
CO,2016,4,4.97
CO,2017,1,5.28
CO,2017,2,3.98
CO,2017,3,5.61
CO,2017,4,5.18
CO,2018,1,5.44
CO,2018,2,3.85
CO,2018,3,5.13
CO,2018,4,5.15
CO,2019,1,4.57
CO,2019,2,3.56
CO,2019,3,5.2
CO,2019,4,3.87
MN,2016,1,3.88
MN,2016,2,3.41
MN,2016,3,5.38
MN,2016,4,3.81
MN,2017,1,5.28
MN,2017,2,5.48
MN,2017,3,4.98
MN,2017,4,4.24
MN,2018,1,4.37
MN,2018,2,5.04
MN,2018,3,5.05
MN,2018,4,5.08
MN,2019,1,3.85
MN,2019,2,5.05
MN,2019,3,5.08
MN,2019,4,3.33
NC,2016,1,5.17
NC,2016,2,5.39
NC,2016,3,3.81
NC,2016,4,5.69
NC,2017,1,5.19
NC,2017,2,4.48
NC,2017,3,3.98
NC,2017,4,4.45
NC,2018,1,5.24
NC,2018,2,4.21
NC,2018,3,4.66
NC,2018,4,4.86
NC,2019,1,5.23
NC,2019,2,4.74
NC,2019,3,5.52
NC,2019,4,4.66
VA,2016,1,5.6
VA,2016,2,3.65
VA,2016,3,3.62
VA,2016,4,3.49
VA,2017,1,5.43
VA,2017,2,3.33
VA,2017,3,5.29
VA,2017,4,5.49
VA,2018,1,5.06
VA,2018,2,4.37
VA,2018,3,5.03
VA,2018,4,4.29
VA,2019,1,5.16
VA,2019,2,4.78
VA,2019,3,4.01
VA,2019,4,4.32
