date,fed_funds_rate,prime_rate,10yr_treasury,sp500_monthly_return
2015-01,0.81,3.81,1.21,4.51
2015-04,0.79,3.79,1.35,-1.92
2015-07,0.81,3.81,1.31,2.8
2015-10,0.74,3.74,1.22,-0.25
2016-01,0.81,3.81,1.43,-1.53
2016-04,0.84,3.84,1.42,3.19
2016-07,0.78,3.78,1.41,-0.67
2016-10,0.81,3.81,1.43,0.86
2017-01,0.66,3.66,1.13,-2.76
2017-04,0.81,3.81,1.42,1.71
2017-07,1.54,4.54,1.98,-2.32
2017-10,1.55,4.55,2.03,-2.79
2018-01,1.46,4.46,2.06,2.45
2018-04,1.49,4.49,1.98,0.22
2018-07,1.46,4.46,1.92,-2.37
2018-10,1.46,4.46,1.9,-0.42
2019-01,1.6,4.6,2.22,-1.42
2019-04,1.52,4.52,1.99,-0.77
2019-07,1.56,4.56,2.12,0.32
2019-10,1.47,4.47,2.03,4.28
