date,max_temp_f,min_temp_f,precipitation_in,wind_speed_mph,condition
2019-01-09,63.0,48.0,0.2,8.6,Partly Cloudy
2019-01-10,71.0,57.0,0.14,7.7,Partly Cloudy
2019-01-11,55.0,45.0,0.16,6.7,Partly Cloudy
2019-01-12,72.0,52.0,0.03,12.9,Partly Cloudy
2019-01-13,57.0,43.0,0.11,12.3,Partly Cloudy
2019-01-14,65.0,51.0,0.09,14.8,Clear
2019-01-15,68.0,49.0,0.18,11.8,Clear
2019-01-16,61.0,53.0,0.16,9.6,Partly Cloudy
2019-01-17,57.0,52.0,0.17,7.2,Partly Cloudy
2019-01-18,67.0,47.0,0.09,7.9,Partly Cloudy
2019-01-19,42,34,1.36,28.1,Snow
2019-01-20,42,34,1.63,33.2,Snow
2019-01-21,71.0,45.0,0.07,5.3,Partly Cloudy
2019-01-22,66.0,55.0,0.11,11.2,Clear
2019-01-23,59.0,49.0,0.08,5.2,Partly Cloudy
2019-01-24,61.0,44.0,0.09,14.4,Clear
2019-01-25,71.0,44.0,0.14,15.0,Clear
2019-01-26,62.0,57.0,0.15,8.4,Partly Cloudy
2019-01-27,64.0,43.0,0.15,14.4,Partly Cloudy
2019-01-28,55.0,47.0,0.04,9.1,Partly Cloudy
