date,wti_crude_usd_bbl,brent_crude_usd_bbl,gasoline_retail_usd_gal
2005-01-01,72.54,76.24,2.11
2005-02-01,75.26,77.93,2.11
2005-03-01,69.69,73.4,1.9
2005-04-01,74.67,76.95,2.16
2005-05-01,75.73,79.25,2.05
2005-06-01,68.86,70.88,1.99
2005-07-01,75.64,80.06,2.05
2005-08-01,73.6,76.07,2.13
2005-09-01,63.03,65.13,1.87
2005-10-01,66.32,70.38,1.88
2005-11-01,70.54,73.57,1.9
2005-12-01,75.4,77.85,2.11
2006-01-01,62.22,65.18,1.7
2006-02-01,64.19,66.16,1.8
2006-03-01,76.84,78.61,2.12
2006-04-01,71.59,75.98,2.05
2006-05-01,69.12,73.62,2.02
2006-06-01,62.96,65.69,1.86
2006-07-01,75.45,78.17,2.1
2006-08-01,73.15,76.56,2.0
2006-09-01,67.66,71.9,1.82
2006-10-01,64.11,68.33,1.76
2006-11-01,69.19,72.32,1.93
2006-12-01,73.55,75.24,1.97
2007-01-01,72.45,76.38,1.96
2007-02-01,74.36,77.47,2.05
2007-03-01,68.62,72.63,1.95
2007-04-01,63.16,67.34,1.78
2007-05-01,72.78,74.7,2.03
2007-06-01,74.32,76.17,2.13
2007-07-01,68.47,70.34,1.87
2007-08-01,72.95,75.06,1.97
2007-09-01,65.09,69.05,1.9
2007-10-01,71.19,73.8,1.89
2007-11-01,77.08,80.12,2.04
2007-12-01,78.53,81.1,2.22
2008-01-01,77.59,79.63,2.09
2008-02-01,77.2,79.89,2.18
2008-03-01,77.28,80.89,2.08
2008-04-01,78.8,82.39,2.19
2008-05-01,82.02,86.45,2.15
2008-06-01,81.23,83.12,2.27
2008-07-01,76.96,81.45,2.05
2008-08-01,77.39,78.92,2.16
2008-09-01,78.17,79.7,2.22
2008-10-01,66.98,68.51,1.83
2008-11-01,69.46,71.33,1.98
2008-12-01,73.08,74.89,2.1
2009-01-01,74.91,77.53,2.02
2009-02-01,70.61,72.25,2.06
2009-03-01,73.02,76.97,1.99
2009-04-01,72.18,73.98,1.94
2009-05-01,69.23,71.5,1.99
2009-06-01,67.66,72.09,1.99
2009-07-01,68.97,72.8,1.96
2009-08-01,71.21,75.62,2.02
2009-09-01,73.79,76.27,2.0
2009-10-01,77.56,80.09,2.09
2009-11-01,66.0,70.49,1.78
2009-12-01,64.47,67.85,1.85
