date,imports_bn_usd,exports_bn_usd,trade_balance_bn_usd,import_price_index,energy_import_share_pct
2008-01-01,199.5,187.8,-11.7,102.5,11.2
2008-02-01,193.4,182.7,-10.7,100.0,12.3
2008-03-01,206.7,172.1,-34.6,100.4,10.9
2008-04-01,204.9,174.5,-30.4,102.2,11.9
2008-05-01,206.5,184.2,-22.3,103.9,13.5
2008-06-01,206.0,184.0,-22.0,98.5,12.4
2008-07-01,195.3,178.7,-16.6,99.9,13.5
2008-08-01,204.9,176.5,-28.4,102.6,13.8
2008-09-01,206.5,187.5,-19.0,101.1,11.9
2008-10-01,197.1,180.7,-16.4,98.8,12.3
2008-11-01,194.9,181.4,-13.5,99.7,11.2
2008-12-01,201.5,172.5,-29.0,99.9,10.5
2009-01-01,200.2,180.4,-19.8,100.3,12.7
2009-02-01,209.4,183.9,-25.5,98.4,10.3
2009-03-01,199.5,180.8,-18.7,99.4,13.2
2009-04-01,206.8,186.0,-20.8,98.4,11.2
2009-05-01,194.4,186.7,-7.7,100.2,12.1
2009-06-01,199.7,187.7,-12.0,101.6,10.1
2009-07-01,194.0,187.8,-6.2,101.5,13.8
2009-08-01,197.7,181.8,-15.9,102.9,12.3
2009-09-01,195.0,175.9,-19.1,98.1,12.1
2009-10-01,206.6,177.8,-28.8,100.9,13.6
2009-11-01,198.2,184.1,-14.1,99.8,12.3
2009-12-01,197.5,177.7,-19.8,99.2,12.2
2010-01-01,198.9,184.4,-14.5,102.9,10.8
2010-02-01,194.1,172.2,-21.9,103.8,12.4
2010-03-01,198.4,185.9,-12.5,100.5,11.9
2010-04-01,208.7,179.4,-29.3,99.6,13.1
2010-05-01,201.5,185.7,-15.8,100.8,12.1
2010-06-01,196.8,174.8,-22.0,102.4,11.1
2010-07-01,190.3,180.2,-10.1,113.7,26.3
2010-08-01,197.9,175.3,-22.6,111.2,26.3
2010-09-01,199.4,182.0,-17.4,112.4,19.1
2010-10-01,196.9,176.6,-20.3,111.1,27.2
2010-11-01,196.2,172.6,-23.6,108.7,19.9
2010-12-01,207.7,186.4,-21.3,108.8,26.5
2011-01-01,208.0,178.7,-29.3,112.3,19.5
2011-02-01,191.6,181.7,-9.9,110.0,22.6
2011-03-01,207.5,187.1,-20.4,113.5,19.2
2011-04-01,206.2,185.5,-20.7,111.0,23.4
2011-05-01,199.9,176.2,-23.7,113.5,26.3
2011-06-01,195.5,173.4,-22.1,109.1,24.7
2011-07-01,206.6,174.2,-32.4,99.2,12.7
2011-08-01,205.3,180.9,-24.4,102.7,13.7
2011-09-01,196.9,174.2,-22.7,102.9,11.8
2011-10-01,203.1,174.7,-28.4,103.6,13.6
2011-11-01,200.7,187.3,-13.4,99.5,10.5
2011-12-01,192.8,185.5,-7.3,101.1,13.6
2012-01-01,197.0,183.5,-13.5,99.1,10.4
2012-02-01,194.8,179.9,-14.9,101.4,12.2
2012-03-01,193.4,175.4,-18.0,98.6,12.9
2012-04-01,204.1,186.6,-17.5,102.9,13.9
2012-05-01,190.3,179.1,-11.2,100.6,14.0
2012-06-01,205.9,177.3,-28.6,103.7,11.8
2012-07-01,199.6,173.6,-26.0,99.1,13.9
2012-08-01,202.6,175.0,-27.6,101.7,10.1
2012-09-01,202.6,174.9,-27.7,98.0,13.3
2012-10-01,209.3,180.2,-29.1,102.9,13.1
2012-11-01,200.8,182.3,-18.5,99.4,10.4
2012-12-01,193.6,180.6,-13.0,103.3,13.6
