sku,description,date,units_in_stock,reorder_point,days_until_restock,status
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-10-01,200,50,0,IN_STOCK
22423,REGENCY CAKESTAND 3 TIER,2011-10-01,304,50,0,IN_STOCK
85099B,JUMBO BAG RED RETROSPOT,2011-10-01,447,50,0,IN_STOCK
47566,PARTY BUNTING,2011-10-01,327,50,0,IN_STOCK
20725,LUNCH BAG RED RETROSPOT,2011-10-01,374,50,0,IN_STOCK
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2011-10-18,0,50,16,OUT_OF_STOCK
22423,REGENCY CAKESTAND 3 TIER,2011-10-18,0,50,20,OUT_OF_STOCK
85099B,JUMBO BAG RED RETROSPOT,2011-10-18,0,50,19,OUT_OF_STOCK
47566,PARTY BUNTING,2011-10-18,0,50,16,OUT_OF_STOCK
20725,LUNCH BAG RED RETROSPOT,2011-10-18,0,50,17,OUT_OF_STOCK
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-10-18,101,30,0,IN_STOCK
21232,STRAWBERRY CERAMIC TRINKET BOX,2011-10-18,271,30,0,IN_STOCK
22720,SET OF 3 CAKE TINS PANTRY DESIGN,2011-10-18,191,30,0,IN_STOCK
POST,POSTAGE,2011-10-18,193,30,0,IN_STOCK
